"orderid","channel","transid","accountid","productid","money","currency","status","orderdetail","ordermd5","mtime","ctime","openid","fopenid","totaljewel","platform","openid"
"9-17-100728887-1559320280-com.pg2.nikkisea.pack599d-lbnikkien.mto.zing.vn-9790-0","9","20190531163120-5cf156d8ba0de","100728887","com.pg2.nikkisea.pack599d","101081","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 00:31:36","2019-06-01 00:31:36","","","0","0","105758384504656477759"
"9-2-100729402-1559383663-com.pg2.nikkisea.pack99w-lbnikkien.mto.zing.vn-9790-1","9","20190601100745-5cf24e71cad1b","100729402","com.pg2.nikkisea.pack99w","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 18:08:00","2019-06-01 18:08:00","","","0","1","107314657180785134987"
"9-27-100726771-1559321979-com.pg2.nikkisea.diamond120-lbnikkien.mto.zing.vn-9790-0","9","20190531165940-5cf15d7c188bc","100726771","com.pg2.nikkisea.diamond120","33581","usd","0","[[{"id":0,"type":4,"num":120},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 01:00:02","2019-06-01 01:00:02","","","0","0","433271894169158"
"9-27-100726771-1559365141-com.pg2.nikkisea.pack199d-lbnikkien.mto.zing.vn-9790-0","9","20190601045901-5cf206155b015","100726771","com.pg2.nikkisea.pack199d","33581","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 12:59:24","2019-06-01 12:59:24","","","0","0","433271894169158"
"9-3-100729362-1559358294-com.pg2.nikkisea.pack99vv-lbnikkien.mto.zing.vn-9790-1","9","20190601030500-5cf1eb5c0b06e","100729362","com.pg2.nikkisea.pack99vv","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 11:05:13","2019-06-01 11:05:13","","","0","1","2670890146257908"
"9-32-100719904-1559319462-com.pg2.nikkisea.diamond1368-lbnikkien.mto.zing.vn-9790-1","9","20190531161743-5cf153a748b03","100719904","com.pg2.nikkisea.diamond1368","337330","usd","0","[[{"id":0,"type":4,"num":2736},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 00:18:04","2019-06-01 00:18:04","","","0","1","106874452718730851669"
"9-34-100712820-1559336313-com.pg2.nikkisea.pack99pp-lbnikkien.mto.zing.vn-9790-1","9","20190531205838-5cf1957e9b4ce","100712820","com.pg2.nikkisea.pack99pp","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 04:59:01","2019-06-01 04:59:01","","","0","1","2378918765514627"
"9-34-100712820-1559336841-com.pg2.nikkisea.packdiscount-lbnikkien.mto.zing.vn-9790-1","9","20190531210727-5cf1978f6b6e1","100712820","com.pg2.nikkisea.packdiscount","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 05:08:13","2019-06-01 05:08:13","","","0","1","2378918765514627"
"9-34-100727551-1559352687-com.pg2.nikkisea.packdiscount-lbnikkien.mto.zing.vn-9790-1","9","20190601013128-5cf1d5708ec8c","100727551","com.pg2.nikkisea.packdiscount","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 09:31:44","2019-06-01 09:31:44","","","0","1","101708422439631978524"
"9-36-100726117-1559362457-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-0","9","20190601041418-5cf1fb9a47e85","100726117","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":756}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 12:14:41","2019-06-01 12:14:41","","","0","0","20190504162241155698696175725"
